EntityMention,EntityName
oka,0
o_a,0
ok_,0
_ka,0
alma,1
a_ma,1
_lma,1
al_a,1
alm_,1
amos,2
_mos,2
amo_,2
a_os,2
am_s,2
amqui,3
amqu_,3
am_ui,3
amq_i,3
a_qui,3
_mqui,3
audet,4
aud_t,4
aude_,4
_udet,4
au_et,4
a_det,4
gaspe,5
g_spe,5
gas_e,5
_aspe,5
ga_pe,5
gasp_,5
laval,6
l_val,6
_aval,6
la_al,6
lava_,6
lav_l,6
levis,7
_evis,7
levi_,7
l_vis,7
le_is,7
lev_s,7
maria,8
_aria,8
ma_ia,8
m_ria,8
mar_a,8
milan,9
mila_,9
mi_an,9
mil_n,9
_ilan,9
m_lan,9
namur,10
_amur,10
na_ur,10
namu_,10
n_mur,10
nam_r,10
ogden,11
o_den,11
ogde_,11
ogd_n,11
og_en,11
_gden,11
perce,12
pe_ce,12
perc_,12
per_e,12
p_rce,12
_erce,12
noyan,13
no_an,13
n_yan,13
_oyan,13
noy_n,13
noya_,13
begin,14
b_gin,14
be_in,14
beg_n,14
begi_,14
_egin,14
bearn,15
bear_,15
b_arn,15
bea_n,15
_earn,15
be_rn,15
magog,16
ma_og,16
_agog,16
mago_,16
mag_g,16
m_gog,16
berry,17
ber_y,17
b_rry,17
berr_,17
be_ry,17
stoke,18
_toke,18
stok_,18
sto_e,18
s_oke,18
st_ke,18
scott,19
sc_tt,19
scot_,19
sco_t,19
_cott,19
s_ott,19
dupuy,20
_upuy,20
du_uy,20
dupu_,20
dup_y,20
d_puy,20
upton,21
up_on,21
_pton,21
upt_n,21
upto_,21
u_ton,21
ripon,22
ri_on,22
rip_n,22
ripo_,22
_ipon,22
r_pon,22
elgin,23
_lgin,23
el_in,23
elg_n,23
e_gin,23
elgi_,23
austin,24
austi_,24
au_tin,24
aus_in,24
a_stin,24
aust_n,24
bowman,25
bo_man,25
_owman,25
bow_an,25
bowm_n,25
b_wman,25
bowma_,25
caplan,26
c_plan,26
capla_,26
ca_lan,26
capl_n,26
_aplan,26
cap_an,26
delson,27
dels_n,27
delso_,27
d_lson,27
del_on,27
de_son,27
_elson,27
dunham,28
dunh_m,28
_unham,28
dun_am,28
d_nham,28
dunha_,28
granby,29
_ranby,29
gran_y,29
g_anby,29
gra_by,29
gr_nby,29
granb_,29
howick,30
ho_ick,30
_owick,30
h_wick,30
howic_,30
how_ck,30
howi_k,30
hudson,31
h_dson,31
huds_n,31
hudso_,31
hud_on,31
_udson,31
hu_son,31
matane,32
matan_,32
m_tane,32
mata_e,32
mat_ne,32
_atane,32
ma_ane,32
moffet,33
mo_fet,33
moffe_,33
m_ffet,33
mof_et,33
moff_t,33
_offet,33
nantes,34
nan_es,34
_antes,34
n_ntes,34
na_tes,34
nante_,34
nant_s,34
quebec,35
queb_c,35
qu_bec,35
quebe_,35
_uebec,35
que_ec,35
q_ebec,35
sutton,36
_utton,36
s_tton,36
sutto_,36
su_ton,36
sutt_n,36
sut_on,36
thurso,37
thu_so,37
th_rso,37
thur_o,37
t_urso,37
thurs_,37
_hurso,37
lyster,38
lys_er,38
l_ster,38
_yster,38
lyst_r,38
ly_ter,38
lyste_,38
padoue,39
pado_e,39
pa_oue,39
p_doue,39
_adoue,39
pad_ue,39
padou_,39
kipawa,40
k_pawa,40
_ipawa,40
kipaw_,40
kipa_a,40
ki_awa,40
kip_wa,40
armagh,41
a_magh,41
_rmagh,41
arma_h,41
arm_gh,41
ar_agh,41
armag_,41
chazel,42
c_azel,42
chaz_l,42
ch_zel,42
_hazel,42
chaze_,42
cha_el,42
wotton,43
w_tton,43
_otton,43
wott_n,43
wot_on,43
wo_ton,43
wotto_,43
racine,44
racin_,44
rac_ne,44
raci_e,44
_acine,44
ra_ine,44
r_cine,44
hatley,45
ha_ley,45
h_tley,45
hatle_,45
_atley,45
hatl_y,45
hat_ey,45
rigaud,46
ri_aud,46
r_gaud,46
rig_ud,46
rigau_,46
_igaud,46
riga_d,46
weedon,47
weedo_,47
weed_n,47
we_don,47
w_edon,47
_eedon,47
wee_on,47
rawdon,48
rawdo_,48
ra_don,48
_awdon,48
rawd_n,48
raw_on,48
r_wdon,48
thorne,49
thor_e,49
thorn_,49
t_orne,49
th_rne,49
_horne,49
tho_ne,49
bryson,50
bryso_,50
brys_n,50
b_yson,50
br_son,50
_ryson,50
bry_on,50
dorval,51
dorva_,51
dorv_l,51
_orval,51
dor_al,51
d_rval,51
do_val,51
orford,52
_rford,52
or_ord,52
orf_rd,52
orfor_,52
o_ford,52
orfo_d,52
auclair,53
auc_air,53
auclai_,53
_uclair,53
aucla_r,53
aucl_ir,53
a_clair,53
au_lair,53
authier,54
a_thier,54
authie_,54
auth_er,54
au_hier,54
aut_ier,54
authi_r,54
_uthier,54
beaupre,55
b_aupre,55
be_upre,55
beau_re,55
_eaupre,55
bea_pre,55
beaup_e,55
beaupr_,55
bedford,56
be_ford,56
_edford,56
bedf_rd,56
bed_ord,56
b_dford,56
bedfo_d,56
bedfor_,56
beloeil,57
b_loeil,57
beloe_l,57
beloei_,57
bel_eil,57
_eloeil,57
belo_il,57
be_oeil,57
bromont,58
br_mont,58
brom_nt,58
bromon_,58
b_omont,58
bromo_t,58
bro_ont,58
_romont,58
candiac,59
_andiac,59
candi_c,59
candia_,59
c_ndiac,59
cand_ac,59
ca_diac,59
can_iac,59
chapais,60
ch_pais,60
c_apais,60
chapa_s,60
chap_is,60
cha_ais,60
chapai_,60
_hapais,60
clerval,61
cler_al,61
clerv_l,61
c_erval,61
_lerval,61
cle_val,61
clerva_,61
cl_rval,61
degelis,62
degel_s,62
dege_is,62
degeli_,62
d_gelis,62
deg_lis,62
de_elis,62
_egelis,62
duhamel,63
duh_mel,63
_uhamel,63
du_amel,63
duham_l,63
duhame_,63
d_hamel,63
duha_el,63
farnham,64
fa_nham,64
f_rnham,64
_arnham,64
far_ham,64
farn_am,64
farnha_,64
farnh_m,64
fassett,65
fass_tt,65
fasse_t,65
fasset_,65
_assett,65
fas_ett,65
fa_sett,65
f_ssett,65
fermont,66
ferm_nt,66
f_rmont,66
fermon_,66
fe_mont,66
_ermont,66
fermo_t,66
fer_ont,66
labelle,67
la_elle,67
labe_le,67
l_belle,67
labell_,67
lab_lle,67
_abelle,67
label_e,67
lantier,68
la_tier,68
lanti_r,68
lan_ier,68
_antier,68
l_ntier,68
lantie_,68
lant_er,68
lemieux,69
lem_eux,69
le_ieux,69
_emieux,69
lemie_x,69
l_mieux,69
lemieu_,69
lemi_ux,69
macamic,70
ma_amic,70
maca_ic,70
mac_mic,70
_acamic,70
m_camic,70
macami_,70
macam_c,70
mercier,71
me_cier,71
mercie_,71
merc_er,71
_ercier,71
m_rcier,71
mer_ier,71
merci_r,71
nicolet,72
n_colet,72
nicole_,72
nicol_t,72
nico_et,72
nic_let,72
ni_olet,72
_icolet,72
warwick,73
w_rwick,73
warwi_k,73
warwic_,73
warw_ck,73
wa_wick,73
_arwick,73
war_ick,73
wickham,74
wickha_,74
w_ckham,74
_ickham,74
wick_am,74
wic_ham,74
wickh_m,74
wi_kham,74
windsor,75
winds_r,75
win_sor,75
wi_dsor,75
windso_,75
wind_or,75
w_ndsor,75
_indsor,75
mirabel,76
mir_bel,76
mira_el,76
mi_abel,76
m_rabel,76
mirab_l,76
_irabel,76
mirabe_,76
pontiac,77
p_ntiac,77
ponti_c,77
pon_iac,77
pont_ac,77
_ontiac,77
pontia_,77
po_tiac,77
lambton,78
_ambton,78
lambto_,78
lamb_on,78
lam_ton,78
lambt_n,78
la_bton,78
l_mbton,78
laforce,79
lafor_e,79
laforc_,79
la_orce,79
lafo_ce,79
l_force,79
_aforce,79
laf_rce,79
remigny,80
remign_,80
_emigny,80
rem_gny,80
remi_ny,80
r_migny,80
re_igny,80
remig_y,80
chambly,81
chamb_y,81
ch_mbly,81
cha_bly,81
chambl_,81
_hambly,81
cham_ly,81
c_ambly,81
brigham,82
b_igham,82
bri_ham,82
brig_am,82
brigh_m,82
_righam,82
brigha_,82
br_gham,82
lachute,83
lachu_e,83
la_hute,83
lachut_,83
lac_ute,83
l_chute,83
_achute,83
lach_te,83
sayabec,84
say_bec,84
sayabe_,84
saya_ec,84
sayab_c,84
sa_abec,84
s_yabec,84
_ayabec,84
deleage,85
d_leage,85
delea_e,85
_eleage,85
de_eage,85
dele_ge,85
deleag_,85
del_age,85
irlande,86
ir_ande,86
irlan_e,86
irl_nde,86
_rlande,86
irla_de,86
i_lande,86
irland_,86
cantley,87
_antley,87
ca_tley,87
cantle_,87
cantl_y,87
cant_ey,87
can_ley,87
c_ntley,87
albanel,88
alba_el,88
albane_,88
alb_nel,88
a_banel,88
al_anel,88
_lbanel,88
alban_l,88
chelsea,89
che_sea,89
c_elsea,89
chels_a,89
_helsea,89
ch_lsea,89
chelse_,89
chel_ea,89
lejeune,90
l_jeune,90
_ejeune,90
leje_ne,90
