EntityMention,EntityName
viau,0
via_,0
vi_u,0
v_au,0
_iau,0
monk,1
mo_k,1
m_nk,1
_onk,1
parc,2
_arc,2
par_,2
pa_c,2
p_rc,2
peel,3
pee_,3
p_el,3
pe_l,3
_eel,3
sauve,4
sau_e,4
sa_ve,4
sauv_,4
s_uve,4
_auve,4
jarry,5
j_rry,5
jar_y,5
jarr_,5
_arry,5
ja_ry,5
namur,6
namu_,6
_amur,6
na_ur,6
n_mur,6
nam_r,6
fabre,7
_abre,7
fabr_,7
fab_e,7
fa_re,7
f_bre,7
pie ix,8
pie _x,8
pie i_,8
pie_ix,8
p_e ix,8
pi_ ix,8
_ie ix,8
pie,8
_ie,8
pi_,8
p_e,8
mcgill,9
m_gill,9
_cgill,9
mcgil_,9
mcg_ll,9
mcgi_l,9
mc_ill,9
verdun,10
verd_n,10
ve_dun,10
v_rdun,10
ver_un,10
verdu_,10
_erdun,10
acadie,11
ac_die,11
_cadie,11
a_adie,11
aca_ie,11
acadi_,11
acad_e,11
eglise,12
eg_ise,12
eglis_,12
_glise,12
egl_se,12
egli_e,12
e_lise,12
savane,13
s_vane,13
_avane,13
sav_ne,13
savan_,13
sava_e,13
sa_ane,13
beaudry,14
bea_dry,14
_eaudry,14
be_udry,14
beaudr_,14
b_audry,14
beaud_y,14
beau_ry,14
atwater,15
atwa_er,15
_twater,15
atw_ter,15
atwat_r,15
a_water,15
at_ater,15
atwate_,15
lasalle,16
lasal_e,16
la_alle,16
las_lle,16
lasall_,16
_asalle,16
lasa_le,16
l_salle,16
laurier,17
la_rier,17
laurie_,17
lauri_r,17
laur_er,17
l_urier,17
_aurier,17
lau_ier,17
vendome,18
vendo_e,18
_endome,18
vend_me,18
vendom_,18
v_ndome,18
ve_dome,18
ven_ome,18
snowdon,19
sn_wdon,19
s_owdon,19
snow_on,19
snowd_n,19
snowdo_,19
_nowdon,19
sno_don,19
college,20
_ollege,20
col_ege,20
colleg_,20
colle_e,20
c_llege,20
co_lege,20
coll_ge,20
cartier,21
cart_er,21
carti_r,21
car_ier,21
cartie_,21
ca_tier,21
_artier,21
c_rtier,21
radisson,22
r_disson,22
radiss_n,22
ra_isson,22
radi_son,22
radis_on,22
rad_sson,22
radisso_,22
_adisson,22
cadillac,23
cadil_ac,23
cadi_lac,23
c_dillac,23
_adillac,23
cadilla_,23
cadill_c,23
ca_illac,23
cad_llac,23
joliette,24
joli_tte,24
jo_iette,24
joliett_,24
_oliette,24
jolie_te,24
joliet_e,24
jol_ette,24
j_liette,24
papineau,25
papinea_,25
pap_neau,25
papin_au,25
_apineau,25
papine_u,25
pa_ineau,25
papi_eau,25
p_pineau,25
cremazie,26
c_emazie,26
cr_mazie,26
cremazi_,26
cremaz_e,26
crema_ie,26
cre_azie,26
_remazie,26
crem_zie,26
beaubien,27
be_ubien,27
beaubi_n,27
b_aubien,27
bea_bien,27
beau_ien,27
beaub_en,27
beaubie_,27
_eaubien,27
rosemont,28
rose_ont,28
rosem_nt,28
