EntityMention,EntityName
anjou,0
a_jou,0
anj_u,0
_njou,0
an_ou,0
anjo_,0
verdun,1
verd_n,1
ve_dun,1
v_rdun,1
verdu_,1
_erdun,1
ver_un,1
lachine,2
lachin_,2
_achine,2
la_hine,2
lachi_e,2
lac_ine,2
l_chine,2
lach_ne,2
lasalle,3
lasall_,3
_asalle,3
l_salle,3
la_alle,3
las_lle,3
lasa_le,3
lasal_e,3
ahuntsic,4
ah_ntsic,4
ahuntsi_,4
a_untsic,4
_huntsic,4
ahunts_c,4
ahu_tsic,4
ahun_sic,4
ahunt_ic,4
rosemont,5
r_semont,5
rosem_nt,5
_osemont,5
rosemon_,5
rose_ont,5
rosemo_t,5
ro_emont,5
ros_mont,5
villeray,6
vill_ray,6
viller_y,6
v_lleray,6
ville_ay,6
vi_leray,6
villera_,6
_illeray,6
vil_eray,6
outremont,7
_utremont,7
outrem_nt,7
outremon_,7
outre_ont,7
outr_mont,7
o_tremont,7
outremo_t,7
ou_remont,7
out_emont,7
nord ouest,8
nord oue_t,8
nord o_est,8
nord_ouest,8
nord _uest,8
_ord ouest,8
n_rd ouest,8
no_d ouest,8
nor_ ouest,8
nord oues_,8
nord ou_st,8
le plateau,9
le pla_eau,9
l_ plateau,9
le _lateau,9
le pl_teau,9
_e plateau,9
le platea_,9
le plat_au,9
le p_ateau,9
le plate_u,9
le_plateau,9
plateau,9
plate_u,9
p_ateau,9
pl_teau,9
platea_,9
pla_eau,9
_lateau,9
plat_au,9
mercier est,10
me_cier est,10
_ercier est,10
mercier_est,10
mercier e_t,10
mercier es_,10
mercier _st,10
mercie_ est,10
merci_r est,10
merc_er est,10
mer_ier est,10
est,10
es_,10
e_t,10
_st,10
saint henri,11
saint_henri,11
sai_t henri,11
saint _enri,11
saint henr_,11
sain_ henri,11
s_int henri,11
saint he_ri,11
_aint henri,11
sa_nt henri,11
saint hen_i,11
henri,11
hen_i,11
henr_,11
h_nri,11
_enri,11
he_ri,11
ville emard,12
ville_emard,12
v_lle emard,12
vil_e emard,12
ville em_rd,12
ville _mard,12
_ille emard,12
ville emar_,12
vi_le emard,12
vill_ emard,12
ville e_ard,12
emard,12
ema_d,12
emar_,12
_mard,12
em_rd,12
e_ard,12
centre ville,13
centre vil_e,13
centre vill_,13
cen_re ville,13
c_ntre ville,13
ce_tre ville,13
centr_ ville,13
centre vi_le,13
_entre ville,13
centre v_lle,13
centre _ille,13
centre,13
ce_tre,13
cen_re,13
c_ntre,13
centr_,13
cent_e,13
_entre,13
saint michel,14
saint mi_hel,14
saint mich_l,14
sai_t michel,14
saint m_chel,14
saint miche_,14
_aint michel,14
saint _ichel,14
saint_michel,14
sa_nt michel,14
s_int michel,14
michel,14
mic_el,14
_ichel,14
miche_,14
m_chel,14
mich_l,14
mi_hel,14
mercier ouest,15
mercier _uest,15
mercier oue_t,15
mercie_ ouest,15
mer_ier ouest,15
mercier_ouest,15
_ercier ouest,15
merc_er ouest,15
m_rcier ouest,15
mercier o_est,15
mercier ou_st,15
montreal nord,16
montreal n_rd,16
montreal nor_,16
montreal_nord,16
montreal _ord,16
_ontreal nord,16
montre_l nord,16
mont_eal nord,16
montreal no_d,16
montr_al nord,16
