EntityMention,EntityName
guy,0
g_y,0
gu_,0
_uy,0
roy,1
r_y,1
_oy,1
ro_,1
adam,2
ada_,2
ad_m,2
a_am,2
_dam,2
aird,3
air_,3
a_rd,3
_ird,3
ai_d,3
duke,4
_uke,4
d_ke,4
duk_,4
egan,5
eg_n,5
_gan,5
ega_,5
e_an,5
fort,6
fo_t,6
for_,6
f_rt,6
_ort,6
galt,7
gal_,7
ga_t,7
g_lt,7
_alt,7
grey,8
g_ey,8
gr_y,8
_rey,8
gre_,8
haig,9
h_ig,9
_aig,9
ha_g,9
hai_,9
holt,10
_olt,10
h_lt,10
hol_,10
ho_t,10
mill,11
mi_l,11
mil_,11
m_ll,11
monk,12
_onk,12
mo_k,12
m_nk,12
parc,13
p_rc,13
pa_c,13
pare,14
p_re,14
pa_e,14
_are,14
peel,15
_eel,15
p_el,15
pe_l,15
pee_,15
pins,16
pin_,16
_ins,16
p_ns,16
pi_s,16
rome,17
r_me,17
_ome,17
rom_,17
salk,18
s_lk,18
sa_k,18
sal_,18
_alk,18
todd,19
_odd,19
to_d,19
t_dd,19
tod_,19
viau,20
_iau,20
via_,20
v_au,20
vi_u,20
bercy,21
be_cy,21
berc_,21
b_rcy,21
_ercy,21
ber_y,21
berri,22
berr_,22
ber_i,22
b_rri,22
be_ri,22
_erri,22
boyer,23
boy_r,23
bo_er,23
b_yer,23
boye_,23
bearn,24
bea_n,24
bear_,24
_earn,24
be_rn,24
b_arn,24
canal,25
c_nal,25
_anal,25
ca_al,25
can_l,25
cana_,25
clark,26
clar_,26
_lark,26
c_ark,26
cl_rk,26
cla_k,26
dante,27
da_te,27
_ante,27
dant_,27
d_nte,27
dan_e,27
drake,28
dr_ke,28
drak_,28
_rake,28
dra_e,28
d_ake,28
dumas,29
dum_s,29
_umas,29
d_mas,29
du_as,29
duma_,29
eadie,30
ead_e,30
ea_ie,30
_adie,30
eadi_,30
e_die,30
fabre,31
fa_re,31
fabr_,31
_abre,31
fab_e,31
f_bre,31
garon,32
gar_n,32
ga_on,32
garo_,32
g_ron,32
_aron,32
gaspe,33
g_spe,33
ga_pe,33
gas_e,33
gasp_,33
_aspe,33
gouin,34
g_uin,34
_ouin,34
gou_n,34
goui_,34
go_in,34
goyer,35
goy_r,35
goye_,35
g_yer,35
go_er,35
hamel,36
h_mel,36
ham_l,36
ha_el,36
_amel,36
hame_,36
havre,37
hav_e,37
ha_re,37
_avre,37
havr_,37
h_vre,37
hogan,38
_ogan,38
hog_n,38
h_gan,38
hoga_,38
ho_an,38
irwin,39
i_win,39
_rwin,39
ir_in,39
irw_n,39
irwi_,39
jarry,40
ja_ry,40
_arry,40
jarr_,40
j_rry,40
jar_y,40
leman,41
_eman,41
lem_n,41
le_an,41
lema_,41
l_man,41
liege,42
li_ge,42
_iege,42
lie_e,42
l_ege,42
lieg_,42
meese,43
_eese,43
me_se,43
mee_e,43
m_ese,43
mees_,43
panet,44
pane_,44
_anet,44
pan_t,44
pa_et,44
p_net,44
queen,45
q_een,45
_ueen,45
que_n,45
quee_,45
qu_en,45
robin,46
_obin,46
ro_in,46
robi_,46
rob_n,46
r_bin,46
rouen,47
rou_n,47
r_uen,47
_ouen,47
ro_en,47
roue_,47
royal,48
_oyal,48
roy_l,48
roya_,48
r_yal,48
ro_al,48
sauve,49
_auve,49
sau_e,49
sa_ve,49
sauv_,49
s_uve,49
swail,50
s_ail,50
swa_l,50
_wail,50
swai_,50
sw_il,50
tasse,51
tass_,51
ta_se,51
_asse,51
tas_e,51
t_sse,51
union,52
uni_n,52
u_ion,52
un_on,52
unio_,52
_nion,52
viger,53
_iger,53
v_ger,53
vi_er,53
vig_r,53
vige_,53
vinet,54
vin_t,54
v_net,54
vine_,54
vi_et,54
_inet,54
acadie,55
aca_ie,55
ac_die,55
acad_e,55
acadi_,55
_cadie,55
a_adie,55
alfred,56
alfr_d,56
_lfred,56
al_red,56
alf_ed,56
alfre_,56
a_fred,56
allard,57
allar_,57
alla_d,57
_llard,57
all_rd,57
al_ard,57
a_lard,57
amiens,58
_miens,58
a_iens,58
amie_s,58
ami_ns,58
am_ens,58
amien_,58
angers,59
anger_,59
_ngers,59
an_ers,59
ange_s,59
a_gers,59
ang_rs,59
aylmer,60
ayl_er,60
aylm_r,60
_ylmer,60
aylme_,60
ay_mer,60
a_lmer,60
bishop,61
_ishop,61
bis_op,61
bisho_,61
bi_hop,61
bish_p,61
b_shop,61
bleury,62
b_eury,62
bl_ury,62
ble_ry,62
bleu_y,62
bleur_,62
bocage,63
bo_age,63
bocag_,63
boca_e,63
_ocage,63
b_cage,63
boc_ge,63
botrel,64
b_trel,64
bo_rel,64
bot_el,64
botre_,64
botr_l,64
_otrel,64
belair,65
b_lair,65
belai_,65
_elair,65
bel_ir,65
bela_r,65
be_air,65
carmel,66
_armel,66
c_rmel,66
carme_,66
ca_mel,66
carm_l,66
car_el,66
centre,67
_entre,67
ce_tre,67
c_ntre,67
cen_re,67
cent_e,67
centr_,67
chabot,68
_habot,68
c_abot,68
ch_bot,68
chabo_,68
chab_t,68
cha_ot,68
dorion,69
dor_on,69
d_rion,69
do_ion,69
_orion,69
dorio_,69
dori_n,69
drolet,70
drole_,70
dro_et,70
d_olet,70
dr_let,70
_rolet,70
drol_t,70
duluth,71
dul_th,71
dulut_,71
_uluth,71
d_luth,71
dulu_h,71
du_uth,71
dezery,72
d_zery,72
de_ery,72
_ezery,72
deze_y,72
dezer_,72
dez_ry,72
fleury,73
f_eury,73
fle_ry,73
fl_ury,73
fleur_,73
fleu_y,73
forest,74
fore_t,74
f_rest,74
fores_,74
for_st,74
_orest,74
fo_est,74
fullum,75
full_m,75
ful_um,75
f_llum,75
_ullum,75
fullu_,75
fu_lum,75
galets,76
gale_s,76
galet_,76
ga_ets,76
_alets,76
g_lets,76
gal_ts,76
gohier,77
_ohier,77
gohi_r,77
g_hier,77
go_ier,77
gohie_,77
goh_er,77
gounod,78
gouno_,78
go_nod,78
goun_d,78
g_unod,78
_ounod,78
gou_od,78
greene,79
g_eene,79
green_,79
_reene,79
gree_e,79
gr_ene,79
gre_ne,79
grenet,80
gr_net,80
g_enet,80
gren_t,80
gre_et,80
grene_,80
_renet,80
guizot,81
_uizot,81
g_izot,81
guizo_,81
gu_zot,81
gui_ot,81
guiz_t,81
hadley,82
hadl_y,82
had_ey,82
ha_ley,82
h_dley,82
hadle_,82
_adley,82
hector,83
hecto_,83
h_ctor,83
hec_or,83
he_tor,83
hect_r,83
_ector,83
hudson,84
h_dson,84
_udson,84
hudso_,84
hud_on,84
hu_son,84
huds_n,84
island,85
islan_,85
isla_d,85
_sland,85
i_land,85
isl_nd,85
is_and,85
jogues,86
jogu_s,86
_ogues,86
jo_ues,86
jogue_,86
jog_es,86
j_gues,86
lajoie,87
lajoi_,87
lajo_e,87
_ajoie,87
l_joie,87
la_oie,87
laj_ie,87
larose,88
laro_e,88
la_ose,88
l_rose,88
lar_se,88
laros_,88
_arose,88
lebrun,89
l_brun,89
lebru_,89
_ebrun,89
lebr_n,89
le_run,89
leb_un,89
lecocq,90
l_cocq,90
lecoc_,90
lec_cq,90
le_ocq,90
_ecocq,90
leco_q,90
lenoir,91
_enoir,91
leno_r,91
lenoi_,91
len_ir,91
l_noir,91
le_oir,91
linton,92
l_nton,92
linto_,92
lint_n,92
_inton,92
li_ton,92
lin_on,92
mackay,93
_ackay,93
ma_kay,93
mac_ay,93
macka_,93
mack_y,93
m_ckay,93
marcil,94
m_rcil,94
_arcil,94
ma_cil,94
marci_,94
mar_il,94
masson,95
mass_n,95
mas_on,95
_asson,95
m_sson,95
ma_son,95
masso_,95
mcgill,96
_cgill,96
mcg_ll,96
mcgil_,96
mc_ill,96
m_gill,96
mcgi_l,96
millen,97
m_llen,97
mil_en,97
mi_len,97
mill_n,97
mille_,97
_illen,97
milton,98
_ilton,98
mi_ton,98
milto_,98
mil_on,98
milt_n,98
m_lton,98
molson,99
mols_n,99
_olson,99
molso_,99
m_lson,99
mol_on,99
mo_son,99
moreau,100
morea_,100
more_u,100
_oreau,100
mor_au,100
m_reau,100
mo_eau,100
mozart,101
_ozart,101
moz_rt,101
m_zart,101
mo_art,101
moza_t,101
mozar_,101
newman,102
newma_,102
ne_man,102
newm_n,102
_ewman,102
n_wman,102
new_an,102
ogilvy,103
o_ilvy,103
ogil_y,103
og_lvy,103
ogilv_,103
ogi_vy,103
_gilvy,103
ottawa,104
ot_awa,104
o_tawa,104
_ttawa,104
ott_wa,104
otta_a,104
ottaw_,104
perras,105
perr_s,105
p_rras,105
pe_ras,105
perra_,105
per_as,105
_erras,105
pie ix,106
pie _x,106
pi_ ix,106
_ie ix,106
p_e ix,106
pie i_,106
pie_ix,106
pie,106
pi_,106
p_e,106
_ie,106
